PubDate,PubTime,Currency,Event,Actual,Forecast,Previous,CurrEvent,PrevDate,NextDate,PrevH,NextH,PrevD[BTC-USD][O],PrevD[BTC-USD][H],PrevD[BTC-USD][L],PrevD[BTC-USD][C],NextD[BTC-USD][O],NextD[BTC-USD][H],NextD[BTC-USD][L],NextD[BTC-USD][C],CurrD[BTC-USD][O],CurrD[BTC-USD][H],CurrD[BTC-USD][L],CurrD[BTC-USD][C],PrevH[BTC-USD][O],PrevH[BTC-USD][H],PrevH[BTC-USD][L],PrevH[BTC-USD][C],NextH[BTC-USD][O],NextH[BTC-USD][H],NextH[BTC-USD][L],NextH[BTC-USD][C],CurrH[BTC-USD][O],CurrH[BTC-USD][H],CurrH[BTC-USD][L],CurrH[BTC-USD][C]
2022-09-08,12:15,EUR,Deposit Facility Rate ,0.007,0.005,0.0,EUR-Deposit Facility Rate ,2022-09-07,2022-09-09,12:00,13:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-08,12:15,EUR,ECB Interest Rate Decision ,0.013,0.013,0.005,EUR-ECB Interest Rate Decision ,2022-09-07,2022-09-09,12:00,13:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-08,12:30,USD,Initial Jobless Claims,222000.0,240000.0,228000.0,USD-Initial Jobless Claims,2022-09-07,2022-09-09,12:00,13:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-08,12:45,EUR,ECB Press Conference,,,,EUR-ECB Press Conference,2022-09-07,2022-09-09,12:00,13:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-08,13:10,USD,Fed Chair Powell Speaks,,,,USD-Fed Chair Powell Speaks,2022-09-07,2022-09-09,13:00,14:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-08,15:00,USD,Crude Oil Inventories,8844000.0,-250000.0,-3326000.0,USD-Crude Oil Inventories,2022-09-07,2022-09-09,14:00,16:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-12,17:00,USD,10-Year Note Auction,0.033,,0.028,USD-10-Year Note Auction,2022-09-11,2022-09-13,16:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-13,6:00,EUR,German CPI (MoM) ,0.003,0.003,0.009,EUR-German CPI (MoM) ,2022-09-12,2022-09-14,05:00,07:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-13,12:30,USD,Core CPI (MoM) ,0.006,0.003,0.003,USD-Core CPI (MoM) ,2022-09-12,2022-09-14,12:00,13:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-13,12:30,USD,CPI (YoY) ,0.083,0.081,0.085,USD-CPI (YoY) ,2022-09-12,2022-09-14,12:00,13:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-13,12:30,USD,CPI (MoM) ,0.001,-0.001,0.0,USD-CPI (MoM) ,2022-09-12,2022-09-14,12:00,13:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-13,17:01,USD,30-Year Bond Auction,0.035,,0.031,USD-30-Year Bond Auction,2022-09-12,2022-09-14,17:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-14,12:30,USD,PPI (MoM) ,-0.001,-0.001,-0.004,USD-PPI (MoM) ,2022-09-13,2022-09-15,12:00,13:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-14,14:30,USD,Crude Oil Inventories,2442000.0,833000.0,8844000.0,USD-Crude Oil Inventories,2022-09-13,2022-09-15,14:00,15:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-15,12:30,USD,Core Retail Sales (MoM) ,-0.003,0.001,0.004,USD-Core Retail Sales (MoM) ,2022-09-14,2022-09-16,12:00,13:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-15,12:30,USD,Initial Jobless Claims,213000.0,226000.0,218000.0,USD-Initial Jobless Claims,2022-09-14,2022-09-16,12:00,13:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-15,12:30,USD,Philadelphia Fed Manufacturing Index ,-9.9,2.8,6.2,USD-Philadelphia Fed Manufacturing Index ,2022-09-14,2022-09-16,12:00,13:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-15,12:30,USD,Retail Sales (MoM) ,0.003,0.002,-0.004,USD-Retail Sales (MoM) ,2022-09-14,2022-09-16,12:00,13:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-16,9:00,EUR,CPI (YoY) ,0.091,0.091,0.091,EUR-CPI (YoY) ,2022-09-15,2022-09-17,08:00,10:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-21,14:00,USD,Existing Home Sales ,4800000.0,4700000.0,4820000.0,USD-Existing Home Sales ,2022-09-20,2022-09-22,13:00,15:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-21,14:30,USD,Crude Oil Inventories,1142000.0,2161000.0,2442000.0,USD-Crude Oil Inventories,2022-09-20,2022-09-22,14:00,15:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-21,18:00,USD,FOMC Economic Projections,,,,USD-FOMC Economic Projections,2022-09-20,2022-09-22,17:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-21,18:00,USD,FOMC Statement,,,,USD-FOMC Statement,2022-09-20,2022-09-22,17:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-21,18:00,USD,Fed Interest Rate Decision,0.033,0.033,0.025,USD-Fed Interest Rate Decision,2022-09-20,2022-09-22,17:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-21,18:30,USD,FOMC Press Conference,,,,USD-FOMC Press Conference,2022-09-20,2022-09-22,18:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-22,12:30,USD,Initial Jobless Claims,213000.0,218000.0,208000.0,USD-Initial Jobless Claims,2022-09-21,2022-09-23,12:00,13:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-23,13:45,USD,S&P Global US Manufacturing PMI ,51.8,51.1,51.5,USD-S&P Global US Manufacturing PMI ,2022-09-22,2022-09-24,13:00,14:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-23,13:45,USD,S&P Global Services PMI ,49.2,45.0,43.7,USD-S&P Global Services PMI ,2022-09-22,2022-09-24,13:00,14:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-23,18:00,USD,Fed Chair Powell Speaks,,,,USD-Fed Chair Powell Speaks,2022-09-22,2022-09-24,17:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-27,12:30,USD,Durable Goods Orders (MoM) ,-0.002,-0.004,-0.001,USD-Durable Goods Orders (MoM) ,2022-09-26,2022-09-28,12:00,13:00,,,,,19104.62109375,19688.34375,18553.296875,19426.720703125,19221.83984375,20338.455078125,18915.66796875,19110.546875,20256.826171875,20338.455078125,20236.46875,20296.447265625,20287.6484375,20302.642578125,20148.33203125,20196.318359375,,,,
2022-09-27,14:00,USD,CB Consumer Confidence ,108.0,104.5,103.6,USD-CB Consumer Confidence ,2022-09-26,2022-09-28,13:00,15:00,,,,,19104.62109375,19688.34375,18553.296875,19426.720703125,19221.83984375,20338.455078125,18915.66796875,19110.546875,20287.6484375,20302.642578125,20148.33203125,20196.318359375,20210.626953125,20223.22265625,20038.451171875,20038.451171875,20198.873046875,20219.50390625,20132.36328125,20209.43359375
2022-09-27,14:00,USD,New Home Sales ,685000.0,500000.0,532000.0,USD-New Home Sales ,2022-09-26,2022-09-28,13:00,15:00,,,,,19104.62109375,19688.34375,18553.296875,19426.720703125,19221.83984375,20338.455078125,18915.66796875,19110.546875,20287.6484375,20302.642578125,20148.33203125,20196.318359375,20210.626953125,20223.22265625,20038.451171875,20038.451171875,20198.873046875,20219.50390625,20132.36328125,20209.43359375
2022-09-28,14:15,USD,Fed Chair Powell Speaks,,,,USD-Fed Chair Powell Speaks,2022-09-27,2022-09-29,14:00,15:00,19221.83984375,20338.455078125,18915.66796875,19110.546875,19427.779296875,19589.265625,18924.353515625,19573.05078125,19104.62109375,19688.34375,18553.296875,19426.720703125,19140.572265625,19422.515625,19084.798828125,19370.775390625,19375.75,19460.490234375,19375.75,19459.591796875,,,,
2022-09-28,14:30,USD,Crude Oil Inventories,-215000.0,443000.0,1142000.0,USD-Crude Oil Inventories,2022-09-27,2022-09-29,14:00,15:00,19221.83984375,20338.455078125,18915.66796875,19110.546875,19427.779296875,19589.265625,18924.353515625,19573.05078125,19104.62109375,19688.34375,18553.296875,19426.720703125,19140.572265625,19422.515625,19084.798828125,19370.775390625,19375.75,19460.490234375,19375.75,19459.591796875,,,,
