combined,Open,High,Low,Close
2022-09-01 12:30,,,,
2022-09-01 13:45,,,,
2022-09-01 14:00,,,,
2022-09-01 14:00,,,,
2022-09-02 12:30,,,,
2022-09-02 12:30,,,,
2022-09-02 12:30,,,,
2022-09-06 13:45,,,,
2022-09-06 14:00,,,,
2022-09-06 14:00,,,,
2022-09-08 12:15,,,,
2022-09-08 12:15,,,,
2022-09-08 12:30,,,,
2022-09-08 12:45,,,,
2022-09-08 13:10,,,,
2022-09-08 15:00,,,,
2022-09-12 17:00,,,,
2022-09-13 6:00,,,,
2022-09-13 12:30,,,,
2022-09-13 12:30,,,,
2022-09-13 12:30,,,,
2022-09-13 17:01,,,,
2022-09-14 12:30,,,,
2022-09-14 14:30,,,,
2022-09-15 12:30,,,,
2022-09-15 12:30,,,,
2022-09-15 12:30,,,,
2022-09-15 12:30,,,,
2022-09-16 9:00,,,,
2022-09-21 14:00,,,,
2022-09-21 14:30,,,,
2022-09-21 18:00,,,,
2022-09-21 18:00,,,,
2022-09-21 18:00,,,,
2022-09-21 18:30,,,,
2022-09-22 12:30,,,,
2022-09-23 13:45,,,,
2022-09-23 13:45,,,,
2022-09-23 18:00,,,,
2022-09-27 12:30,,,,
2022-09-27 14:00,20198.873046875,20219.50390625,20132.36328125,20209.43359375
2022-09-27 14:00,20198.873046875,20219.50390625,20132.36328125,20209.43359375
2022-09-28 14:15,,,,
2022-09-28 14:30,,,,
2022-09-29 12:00,19483.26171875,19483.26171875,19209.78125,19227.494140625
2022-09-29 12:30,,,,
2022-09-29 12:30,,,,
2022-09-30 9:00,,,,
2022-09-30 12:30,,,,
2022-09-30 12:30,,,,
2022-09-30 13:45,,,,
2022-10-03 13:45,,,,
2022-10-03 14:00,19195.908203125,19431.416015625,19195.908203125,19412.041015625
2022-10-03 14:00,19195.908203125,19431.416015625,19195.908203125,19412.041015625
2022-10-04 14:00,20085.38671875,20182.421875,20067.115234375,20100.208984375
2022-10-05 12:15,,,,
2022-10-05 13:45,,,,
2022-10-05 14:00,19914.625,19914.625,19801.80078125,19894.6484375
2022-10-05 14:00,19914.625,19914.625,19801.80078125,19894.6484375
2022-10-05 14:30,,,,
2022-10-06 12:30,,,,
2022-10-07 12:30,,,,
2022-10-07 12:30,,,,
2022-10-07 12:30,,,,
2022-10-12 12:30,,,,
2022-10-12 17:00,19102.611328125,19109.341796875,19080.98828125,19080.98828125
2022-10-12 18:00,19081.923828125,19143.54296875,19081.923828125,19116.658203125
2022-10-13 6:00,,,,
2022-10-13 12:30,,,,
2022-10-13 12:30,,,,
2022-10-13 12:30,,,,
2022-10-13 12:30,,,,
2022-10-13 15:00,18438.375,18966.025390625,18425.48046875,18925.740234375
2022-10-13 17:00,19093.619140625,19177.0390625,19085.779296875,19147.681640625
2022-10-14 12:30,,,,
2022-10-14 12:30,,,,
2022-10-19 9:00,,,,
2022-10-19 14:30,,,,
2022-10-20 12:30,,,,
2022-10-20 12:30,,,,
2022-10-20 14:00,19201.626953125,19305.24609375,19190.201171875,19298.337890625
2022-10-24 13:45,,,,
2022-10-24 13:45,,,,
2022-10-25 14:00,19485.00390625,19503.748046875,19455.99609375,19494.392578125
2022-10-26 14:00,20554.357421875,20928.53515625,20554.357421875,20828.67578125
2022-10-26 14:30,,,,
2022-10-27 12:15,,,,
2022-10-27 12:15,,,,
2022-10-27 12:30,,,,
2022-10-27 12:30,,,,
2022-10-27 12:30,,,,
2022-10-27 12:45,,,,
2022-10-28 8:00,,,,
2022-10-28 12:00,20181.33984375,20233.49609375,20132.498046875,20205.140625
2022-10-28 12:30,,,,
2022-10-28 12:30,,,,
2022-10-31 10:00,20703.041015625,20787.53125,20703.041015625,20737.41796875
2022-10-31 13:45,,,,
2022-10-31 20:30,,,,
2022-11-01 13:45,,,,
2022-11-01 14:00,20424.06640625,20459.97265625,20359.845703125,20410.962890625
