PubDate,PubTime,Currency,Event,Actual,Forecast,Previous,CurrEvent
2022/10/05,14:00,USD,ISM Non-Manufacturing PMI ,56.7,56.0,56.9,USD-ISM Non-Manufacturing PMI 
2022/10/05,14:00,USD,ISM Non-Manufacturing Prices ,68.7,,71.5,USD-ISM Non-Manufacturing Prices 
2022/10/05,14:30,USD,Crude Oil Inventories,-1356000.0,2052000.0,-215000.0,USD-Crude Oil Inventories
2022/10/06,12:30,USD,Initial Jobless Claims,219000.0,203000.0,190000.0,USD-Initial Jobless Claims
2022/10/07,12:30,USD,Average Hourly Earnings (MoM) ,0.003,0.003,0.003,USD-Average Hourly Earnings (MoM) 
2022/10/07,12:30,USD,Nonfarm Payrolls ,263000.0,250000.0,315000.0,USD-Nonfarm Payrolls 
2022/10/07,12:30,USD,Unemployment Rate ,0.035,0.037,0.037,USD-Unemployment Rate 
2022/10/12,12:30,USD,PPI (MoM) ,0.004,0.002,-0.002,USD-PPI (MoM) 
2022/10/12,17:00,USD,10-Year Note Auction,0.039,,0.033,USD-10-Year Note Auction
2022/10/12,18:00,USD,FOMC Meeting Minutes  ,,,,USD-FOMC Meeting Minutes  
2022/10/13,6:00,EUR,German CPI (MoM) ,0.019,0.019,0.003,EUR-German CPI (MoM) 
2022/10/13,12:30,USD,Core CPI (MoM) ,0.006,0.005,0.006,USD-Core CPI (MoM) 
2022/10/13,12:30,USD,CPI (MoM) ,0.004,0.002,0.002,USD-CPI (MoM) 
2022/10/13,12:30,USD,CPI (YoY) ,0.082,0.081,0.082,USD-CPI (YoY) 
2022/10/13,12:30,USD,Initial Jobless Claims,228000.0,225000.0,219000.0,USD-Initial Jobless Claims
2022/10/13,15:00,USD,Crude Oil Inventories,9880000.0,1750000.0,-1356000.0,USD-Crude Oil Inventories
2022/10/13,17:00,USD,30-Year Bond Auction,0.039,,0.035,USD-30-Year Bond Auction
2022/10/14,12:30,USD,Core Retail Sales (MoM) ,0.001,-0.001,-0.001,USD-Core Retail Sales (MoM) 
2022/10/14,12:30,USD,Retail Sales (MoM) ,0.0,0.002,0.004,USD-Retail Sales (MoM) 
2022/10/19,9:00,EUR,CPI (YoY) ,0.099,0.1,0.091,EUR-CPI (YoY) 
2022/10/19,14:30,USD,Crude Oil Inventories,-1725000.0,1380000.0,9880000.0,USD-Crude Oil Inventories
2022/10/20,12:30,USD,Initial Jobless Claims,214000.0,230000.0,226000.0,USD-Initial Jobless Claims
2022/10/20,12:30,USD,Philadelphia Fed Manufacturing Index ,-8.7,-5.0,-9.9,USD-Philadelphia Fed Manufacturing Index 
2022/10/20,14:00,USD,Existing Home Sales ,4710000.0,4700000.0,4780000.0,USD-Existing Home Sales 
2022/10/24,13:45,USD,S&P Global US Manufacturing PMI   ,49.9,51.0,52.0,USD-S&P Global US Manufacturing PMI   
2022/10/24,13:45,USD,S&P Global Services PMI   ,46.6,49.2,49.3,USD-S&P Global Services PMI   
2022/10/25,14:00,USD,CB Consumer Confidence ,102.5,106.5,107.8,USD-CB Consumer Confidence 
2022/10/26,14:00,USD,New Home Sales ,603000.0,585000.0,677000.0,USD-New Home Sales 
2022/10/26,14:30,USD,Crude Oil Inventories,2588000.0,1029000.0,-1725000.0,USD-Crude Oil Inventories
2022/10/27,12:15,EUR,Deposit Facility Rate ,0.015,0.015,0.007,EUR-Deposit Facility Rate 
2022/10/27,12:15,EUR,ECB Interest Rate Decision ,0.02,0.02,0.013,EUR-ECB Interest Rate Decision 
2022/10/27,12:30,USD,Durable Goods Orders (MoM) ,0.004,0.006,0.002,USD-Durable Goods Orders (MoM) 
2022/10/27,12:30,USD,GDP (QoQ)   ,0.026,0.024,-0.006,USD-GDP (QoQ)   
2022/10/27,12:30,USD,Initial Jobless Claims,217000.0,220000.0,214000.0,USD-Initial Jobless Claims
2022/10/27,12:45,EUR,ECB Press Conference  ,,,,EUR-ECB Press Conference  
2022/10/28,8:00,EUR,German GDP (QoQ)   ,0.003,-0.002,0.001,EUR-German GDP (QoQ)   
2022/10/28,12:00,EUR,German CPI (MoM)   ,0.009,0.006,0.019,EUR-German CPI (MoM)   
2022/10/28,12:30,USD,Core PCE Price Index (MoM) ,0.005,0.005,0.005,USD-Core PCE Price Index (MoM) 
2022/10/28,12:30,USD,Core PCE Price Index (YoY) ,0.051,0.052,0.049,USD-Core PCE Price Index (YoY) 
2022/10/31,10:00,EUR,CPI (YoY)   ,0.107,0.102,0.099,EUR-CPI (YoY)   
2022/10/31,13:45,USD,Chicago PMI ,45.2,47.0,45.7,USD-Chicago PMI 
