Topic,Date,nNews,nPos,nNeg,meansen
bitcoin,2024-07-24,1,0,0,0.0
bitcoin,2024-09-13,1,0,0,0.0
bitcoin,2024-09-18,1,1,0,0.3182
bitcoin,2024-09-19,1,1,0,0.0772
bitcoin,2024-09-20,8,6,0,0.317
bitcoin,2024-09-21,2,0,0,0.0
bitcoin,2024-09-22,7,3,0,0.1323285714285714
bitcoin,2024-09-23,19,7,4,0.03030526315789474
bitcoin,2024-09-24,28,16,3,0.16400714285714285
bitcoin,2024-09-25,28,10,2,0.05841428571428571
