Date,curr-usd-balance,curr-sym-balance,next-usd-balance,next-sym-balance,paction,price,sym,usd
2024-07-24,1000.0,0,1000.0,0,,,,1000.0
2024-09-13,1000.0,0,1000.0,0,0,58127.01171875,0.017203705651316504,1000.0
2024-09-18,1000.0,0,1000.0,0,0,60308.5390625,0.016581399840637202,1000.0
2024-09-19,1000.0,0,0,0.016220684439383366,1,61649.6796875,0.016220684439383366,1000.0
2024-09-20,0,0.016220684439383366,0,0.016220684439383366,0,62940.45703125,0.016220684439383366,1020.9372919744742
2024-09-21,0,0.016220684439383366,0,0.016220684439383366,1,63192.9765625,0.016220684439383366,1025.0333316056615
2024-09-22,0,0.016220684439383366,1028.3076921907161,0,-1,63394.83984375,0.016220684439383366,1028.3076921907161
2024-09-23,1028.3076921907161,0,0,0.016155986147158036,1,63648.7109375,0.016155986147158036,1028.3076921907161
2024-09-24,0,0.016155986147158036,0,0.016155986147158036,0,63329.80078125,0.016155986147158036,1023.1553841241532
2024-09-25,0,0.016155986147158036,0,0.016155986147158036,1,64301.96875,0.016155986147158036,1038.861716359989
