Date,Open,High,Low,Close,Adj Close
2024-08-01 00:00:00,64625.83984375,65593.2421875,62248.94140625,65357.5,65357.5
2024-08-02 00:00:00,65353.5,65523.22265625,61184.89453125,61415.06640625,61415.06640625
2024-08-03 00:00:00,61414.80859375,62148.37109375,59836.52734375,60680.09375,60680.09375
2024-08-04 00:00:00,60676.09375,61062.98828125,57210.8046875,58116.9765625,58116.9765625
2024-08-05 00:00:00,58110.296875,58268.828125,49121.23828125,53991.45703125,53991.45703125
2024-08-06 00:00:00,53991.34765625,57059.91796875,53973.2734375,56034.31640625,56034.31640625
2024-08-07 00:00:00,56040.6328125,57726.8828125,54620.5078125,55027.4609375,55027.4609375
2024-08-08 00:00:00,55030.02734375,62673.765625,54766.7265625,61710.13671875,61710.13671875
2024-08-09 00:00:00,61728.20703125,61751.86328125,59587.859375,60880.11328125,60880.11328125
2024-08-10 00:00:00,60881.23046875,61464.51171875,60287.56640625,60945.8125,60945.8125
2024-08-11 00:00:00,60944.890625,61778.66015625,58348.82421875,58719.484375,58719.484375
2024-08-12 00:00:00,58719.39453125,60680.33203125,57688.8984375,59354.515625,59354.515625
2024-08-13 00:00:00,59356.20703125,61572.3984375,58506.25390625,60609.56640625,60609.56640625
2024-08-14 00:00:00,60611.05078125,61687.7578125,58472.875,58737.26953125,58737.26953125
2024-08-15 00:00:00,58733.26171875,59838.6484375,56161.59375,57560.09765625,57560.09765625
2024-08-16 00:00:00,57560.2734375,59847.359375,57110.01953125,58894.10546875,58894.10546875
2024-08-17 00:00:00,58893.53125,59694.66796875,58814.83203125,59478.97265625,59478.97265625
2024-08-18 00:00:00,59468.1328125,60262.71875,58445.40234375,58483.96484375,58483.96484375
2024-08-19 00:00:00,58480.7109375,59612.66015625,57864.7109375,59493.453125,59493.453125
2024-08-20 00:00:00,59493.453125,61396.328125,58610.8828125,59012.79296875,59012.79296875
2024-08-21 00:00:00,59014.98828125,61834.3515625,58823.4453125,61175.19140625,61175.19140625
2024-08-22 00:00:00,61168.31640625,61408.109375,59815.25390625,60381.9140625,60381.9140625
2024-08-23 00:00:00,60380.953125,64947.0625,60372.05078125,64094.35546875,64094.35546875
2024-08-24 00:00:00,64103.87109375,64513.7890625,63619.91796875,64178.9921875,64178.9921875
2024-08-25 00:00:00,64176.3671875,64996.421875,63833.51953125,64333.54296875,64333.54296875
2024-08-26 00:00:00,64342.2265625,64489.70703125,62849.55859375,62880.66015625,62880.66015625
2024-08-27 00:00:00,62879.70703125,63210.796875,58116.75,59504.1328125,59504.1328125
2024-08-28 00:00:00,59507.92578125,60236.44921875,57890.67578125,59027.625,59027.625
2024-08-29 00:00:00,59027.46875,61184.08203125,58786.2265625,59388.1796875,59388.1796875
2024-08-30 00:00:00,59388.6015625,59896.88671875,57768.53125,59119.4765625,59119.4765625
2024-08-31 00:00:00,59117.48046875,59432.59375,58768.78515625,58969.8984375,58969.8984375
2024-09-01 00:00:00,58969.80078125,59062.0703125,57217.82421875,57325.48828125,57325.48828125
2024-09-02 00:00:00,57326.96875,59403.0703125,57136.02734375,59112.48046875,59112.48046875
2024-09-03 00:00:00,59106.19140625,59815.05859375,57425.16796875,57431.0234375,57431.0234375
2024-09-04 00:00:00,57430.34765625,58511.5703125,55673.1640625,57971.5390625,57971.5390625
2024-09-05 00:00:00,57971.703125,58300.58203125,55712.453125,56160.48828125,56160.48828125
2024-09-06 00:00:00,56160.19140625,56976.109375,52598.69921875,53948.75390625,53948.75390625
2024-09-07 00:00:00,53949.0859375,54838.14453125,53740.0703125,54139.6875,54139.6875
2024-09-08 00:00:00,54147.93359375,55300.859375,53653.7578125,54841.56640625,54841.56640625
2024-09-09 00:00:00,54851.88671875,58041.125,54598.43359375,57019.53515625,57019.53515625
2024-09-10 00:00:00,57020.09765625,58029.9765625,56419.4140625,57648.7109375,57648.7109375
2024-09-11 00:00:00,57650.2890625,57991.3203125,55567.33984375,57343.171875,57343.171875
2024-09-12 00:00:00,57343.171875,58534.359375,57330.1015625,58127.01171875,58127.01171875
2024-09-13 00:00:00,58130.32421875,60648.0234375,57650.11328125,60571.30078125,60571.30078125
2024-09-14 00:00:00,60569.1171875,60656.72265625,59517.8828125,60005.12109375,60005.12109375
2024-09-15 00:00:00,60000.7265625,60381.91796875,58696.30859375,59182.8359375,59182.8359375
2024-09-16 00:00:00,59185.2265625,59205.51171875,57501.33984375,58192.5078125,58192.5078125
2024-09-17 00:00:00,58192.5078125,61316.08984375,57628.0703125,60308.5390625,60308.5390625
2024-09-18 00:00:00,60309.0,61664.06640625,59218.25390625,61649.6796875,61649.6796875
2024-09-19 00:00:00,61651.15625,63872.44140625,61609.8671875,62940.45703125,62940.45703125
2024-09-20 00:00:00,62941.42578125,64119.53125,62364.60546875,63192.9765625,63192.9765625
2024-09-21 00:00:00,63184.33984375,63543.359375,62783.10546875,63394.83984375,63394.83984375
2024-09-22 00:00:00,63396.8046875,63993.421875,62440.7265625,63648.7109375,63648.7109375
2024-09-23 00:00:00,63643.1015625,64733.55859375,62628.078125,63329.80078125,63329.80078125
2024-09-24 00:00:00,63326.83984375,64695.21484375,62737.41796875,64301.96875,64301.96875
2024-09-25 00:00:00,64302.58984375,64804.50390625,62945.375,63143.14453125,63143.14453125
2024-09-26 00:00:00,63138.546875,65790.796875,62669.26953125,65181.01953125,65181.01953125
2024-09-27 00:00:00,65180.6640625,66480.6953125,64852.9921875,65790.6640625,65790.6640625
2024-09-28 00:00:00,65792.1796875,66255.53125,65458.03515625,65887.6484375,65887.6484375
2024-09-29 00:00:00,65888.8984375,66069.34375,65450.015625,65635.3046875,65635.3046875
2024-09-30 00:00:00,65634.65625,65635.0546875,62873.6171875,63329.5,63329.5
2024-10-01 00:00:00,63335.60546875,64110.98046875,60189.27734375,60837.0078125,60837.0078125
2024-10-02 00:00:00,60836.32421875,62357.6875,59996.94921875,60632.78515625,60632.78515625
2024-10-03 00:00:00,60632.484375,61469.0390625,59878.8046875,60759.40234375,60759.40234375
2024-10-04 00:00:00,60754.625,62465.9921875,60459.94140625,62067.4765625,62067.4765625
2024-10-05 00:00:00,62067.609375,62371.0234375,61689.58203125,62089.94921875,62089.94921875
2024-10-06 00:00:00,62084.98828125,62959.5703125,61833.1484375,62818.953125,62818.953125
2024-10-07 00:00:00,62819.109375,64443.70703125,62152.55078125,62236.66015625,62236.66015625
2024-10-08 00:00:00,62221.64453125,63174.3046875,61843.5625,62131.96875,62131.96875
2024-10-09 00:00:00,62131.7265625,62508.8359375,60314.61328125,60582.1015625,60582.1015625
2024-10-10 00:00:00,60581.9296875,61236.72265625,58895.20703125,60274.5,60274.5
2024-10-11 00:00:00,60275.4609375,63400.87109375,60046.125,62445.08984375,62445.08984375
2024-10-12 00:00:00,62444.6171875,63448.78515625,62443.26953125,63193.0234375,63193.0234375
2024-10-13 00:00:00,63192.9453125,63272.65234375,62035.63671875,62851.375,62851.375
2024-10-14 00:00:00,62848.3984375,66482.4921875,62442.15234375,66046.125,66046.125
2024-10-15 00:00:00,66050.3671875,67881.6796875,64809.1953125,67041.109375,67041.109375
2024-10-16 00:00:00,67042.4609375,68375.2890625,66758.7265625,67612.71875,67612.71875
2024-10-17 00:00:00,67617.078125,67912.2109375,66647.390625,67399.8359375,67399.8359375
2024-10-18 00:00:00,67419.109375,68969.75,67177.8203125,68418.7890625,68418.7890625
2024-10-19 00:00:00,68418.9765625,68668.0078125,68024.640625,68362.734375,68362.734375
2024-10-20 00:00:00,68364.1796875,69359.0078125,68105.71875,69001.703125,69001.703125
